IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
18606420,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,CENTRAL,,,,,38.037409000,-85.566122400,21.277,11/14/2016 12:00:00 AM,0654,2,2,0,1,CLEAR,DRY,False,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAWN,,,11/16/2016 7:47:50 AM,False,7704,Accepted,
18606421,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,9070,OLD MILL,RD,,,,,,,,38.037550000,-85.565535100,21.312,11/14/2016 12:00:00 AM,1940,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,11/16/2016 7:47:54 AM,False,7729,Accepted,
18650414,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.038654600,-85.558341500,21.715,11/12/2016 12:00:00 AM,1922,2,2,0,0,CLEAR,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,CURVE & LEVEL,DARK-HWY NOT LIGHTED,,,11/16/2016 7:47:42 AM,False,7726,Accepted,
18591038,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.037674800,-85.564766200,21.355,11/12/2016 12:00:00 AM,1659,2,2,0,0,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,11/13/2016 7:48:04 AM,False,7707,Accepted,
18606415,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,2000,4TH,ST,W,,,,,,,38.000907200,-85.747598000,10.296,11/11/2016 12:00:00 AM,1927,2,2,0,0,CLOUDY,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,,,11/16/2016 7:47:29 AM,False,059,Accepted,
18606417,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,US0031E,BARDSTOWN,,,,,38.052123400,-85.536702700,23.255,11/11/2016 12:00:00 AM,1853,2,2,0,0,CLEAR,DRY,False,REAR END - OTHER,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,11/16/2016 7:47:37 AM,False,7733,Accepted,
18589881,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.007657200,-85.671533200,15.045,11/11/2016 12:00:00 AM,1759,1,1,0,0,CLEAR,DRY,False,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,11/12/2016 7:47:04 PM,False,078,Accepted,
18591037,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.052045900,-85.536882200,23.244,11/9/2016 12:00:00 AM,1151,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,11/13/2016 7:48:00 AM,False,7719,Accepted,
18583650,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.026155500,-85.613609000,18.527,11/9/2016 12:00:00 AM,1652,2,2,0,0,CLEAR,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,11/10/2016 3:46:41 PM,False,7701,Accepted,
18574430,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,1000,4TH,ST,W,,,,,,,37.997876400,-85.730680800,11.261,11/8/2016 12:00:00 AM,1854,2,2,0,3,RAINING,WET,False,HEAD-ON COLLISION,HEAD ON,CURVE & GRADE,DARK-HWY LIGHTED/ON,,,11/9/2016 8:46:35 AM,False,065,Accepted,
