IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
14498805,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,10000,OLD MILL,RD,,,,,,,,38.048136300,-85.541663000,22.864,7/29/2015 12:00:00 AM,1149,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,7/31/2015 7:49:38 AM,False,7723,Accepted,
14574699,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,,,ADAM SHEPHERD,PKWY,,,,,KEYSTONE CROSSROAD,KY0044,4TH,37.990463900,-85.707334100,0.002,7/28/2015 12:00:00 AM,1226,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,8/4/2015 7:46:23 AM,False,029,Accepted,
14773061,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.990472700,-85.707297200,12.693,7/27/2015 12:00:00 AM,2246,2,2,0,0,CLEAR,DRY,True,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,,,7/29/2015 7:46:40 AM,False,052,Accepted,
14574693,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,,,,,,,,,,37.991879200,-85.705671300,0.722,7/26/2015 12:00:00 AM,1314,2,2,0,0,CLEAR,DRY,False,REAR END - ON RAMP,REAR END,CURVE & GRADE,DAYLIGHT,I 0065,KY0044,8/4/2015 7:46:13 AM,False,019,Accepted,
14585884,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,W,,,,,,,37.999236900,-85.741286800,10.645,7/26/2015 12:00:00 AM,1818,2,2,0,1,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,7/29/2015 9:45:48 PM,False,046,Accepted,
14498802,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,10731,OLD MILL,RD,,,,,,,,38.050716300,-85.539454300,23.077,7/26/2015 12:00:00 AM,1254,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,7/31/2015 7:49:33 AM,False,7723,Accepted,
14778848,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.048549800,-85.541320200,22.897,7/25/2015 12:00:00 AM,1013,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,7/28/2015 7:46:01 AM,False,7724,Accepted,
14793195,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.990464000,-85.712727500,12.390,7/24/2015 12:00:00 AM,1515,3,3,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,7/26/2015 7:45:28 PM,False,071,Accepted,
14574690,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.997313500,-85.700124800,13.309,7/24/2015 12:00:00 AM,1740,2,2,0,1,CLEAR,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & GRADE,DAYLIGHT,,,8/4/2015 7:46:07 AM,False,062,Accepted,
14793193,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,,,,,,,,,,37.994581900,-85.702797000,0.538,7/23/2015 12:00:00 AM,1724,2,2,0,0,CLEAR,DRY,False,REAR END - ON RAMP,REAR END,CURVE & GRADE,DAYLIGHT,I 0065,KY0044,7/26/2015 7:45:19 PM,False,046,Accepted,
14777976,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.058467300,-85.523706100,24.145,7/23/2015 12:00:00 AM,1705,1,1,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,7/23/2015 6:46:23 PM,False,7707,Accepted,
14498800,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.026122000,-85.613703100,18.522,7/23/2015 12:00:00 AM,1650,1,1,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,7/31/2015 7:49:28 AM,False,7719,Accepted,
14781038,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,1085,4TH,ST,E,,,,,,,37.995918000,-85.701542400,13.186,7/22/2015 12:00:00 AM,1629,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & GRADE,DAYLIGHT,,,7/26/2015 10:46:09 AM,False,063,Accepted,
14496744,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,11199,OLD MILL,RD,,,,,,,,38.053410900,-85.533715600,23.441,7/21/2015 12:00:00 AM,1227,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,7/26/2015 7:46:10 AM,False,7723,Accepted,
14799018,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY1442,,RIDGE,RD,,,,,,,,37.989530900,-85.643874200,1.227,7/21/2015 12:00:00 AM,1714,1,1,0,1,CLOUDY,DRY,False,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,,,7/21/2015 6:51:19 PM,False,1012,Accepted,
14783742,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,FRANK E SIMON,,,,,37.990639400,-85.715030000,12.263,7/20/2015 12:00:00 AM,1830,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,CURVE & LEVEL,DAYLIGHT,,,7/22/2015 9:46:15 AM,False,060,Accepted,
14781035,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,,,,,,,,,,37.991973900,-85.705646000,0.716,7/20/2015 12:00:00 AM,1515,2,2,0,0,CLOUDY,DRY,False,REAR END - ON RAMP,REAR END,CURVE & GRADE,DAYLIGHT,I 0065,KY0044,7/26/2015 10:45:58 AM,False,061,Accepted,
14792922,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,,,,,,,,,,37.992139200,-85.705661200,0.704,7/19/2015 12:00:00 AM,1815,2,2,0,0,CLEAR,DRY,False,REAR END - ON RAMP,REAR END,CURVE & GRADE,DAYLIGHT,I 0065,KY0044,7/20/2015 10:46:07 AM,False,049,Accepted,
14792921,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,LAWRENCE,,HESTER,37.990051600,-85.709716000,12.556,7/19/2015 12:00:00 AM,1345,2,2,0,0,CLOUDY,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,7/20/2015 10:46:00 AM,False,029,Accepted,
14693608,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,BOGARD,,,,,38.026177500,-85.613691800,18.523,7/19/2015 12:00:00 AM,1336,2,2,1,0,CLEAR,DRY,False,NON-COLLISION OBJECT COLLISION,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,7/19/2015 6:45:53 PM,False,7704,Accepted,
14693641,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,11155,OLD MILL,RD,,,,,,,,38.052924200,-85.534850600,23.371,7/19/2015 12:00:00 AM,1501,2,2,0,0,RAINING,WET,False,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,7/19/2015 6:45:59 PM,False,7707,Accepted,
14792919,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,,,,,,,,,,37.991851700,-85.705692500,0.724,7/18/2015 12:00:00 AM,1007,2,2,0,0,CLEAR,DRY,False,REAR END - ON RAMP,REAR END,CURVE & GRADE,DAYLIGHT,I 0065,KY0044,7/20/2015 10:45:49 AM,False,019,Accepted,
14795918,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.991753000,-85.705749900,12.824,7/17/2015 12:00:00 AM,1800,2,2,0,0,CLOUDY,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,7/18/2015 7:45:33 PM,False,049,Accepted,
14523624,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,KY2674,STRINGER,,,,,38.043066900,-85.548096400,22.357,7/17/2015 12:00:00 AM,1726,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,7/19/2015 9:45:50 AM,False,7704,Accepted,
14792459,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.026244300,-85.613463100,18.537,7/16/2015 12:00:00 AM,0850,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,7/23/2015 7:45:54 AM,False,7715,Accepted,
14793192,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,W,,,,,,,37.993594900,-85.723969900,11.757,7/15/2015 12:00:00 AM,1628,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,7/26/2015 7:45:11 PM,False,066,Accepted,
14719112,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.049180500,-85.540798400,22.949,7/14/2015 12:00:00 AM,2020,1,1,0,0,CLOUDY,WATER (STANDING OR MOVING),False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,8/17/2015 7:48:37 AM,False,7720,Accepted,
14492079,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,US0031E,BARDSTOWN,,,,,38.051992000,-85.536988100,23.237,7/14/2015 12:00:00 AM,1116,2,2,0,0,CLEAR,DRY,False,REAR END - OTHER,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,7/17/2015 7:47:13 AM,False,7704,Accepted,
14492081,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.026231600,-85.613180500,18.551,7/14/2015 12:00:00 AM,1648,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,7/17/2015 7:47:22 AM,False,7704,Accepted,
14547155,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.051700100,-85.537776000,23.190,7/13/2015 12:00:00 AM,1516,2,2,0,0,CLOUDY,WET,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,7/14/2015 9:45:41 AM,False,7707,Accepted,
